,Time,Age,AgeStart,Population,Deaths
1027,2015,65-69,65,2288767.5,43690
1028,2016,65-69,65,2485269,47398
1029,2017,65-69,65,2700037,51852
1030,2018,65-69,65,2938273,56767
1031,2019,65-69,65,3132569,60195
1032,2020,65-69,65,3294430,56859
1033,2021,65-69,65,3468560,72009
1034,2022,65-69,65,3659463,68905
1035,2023,65-69,65,3853001,71662
1036,1950,70-74,70,309131,19990
1037,1951,70-74,70,321819,20478
1038,1952,70-74,70,334545.5,21005
1039,1953,70-74,70,347647,21560
1040,1954,70-74,70,361656,22114
1041,1955,70-74,70,377454.5,21271
1042,1956,70-74,70,395064.5,21789
1043,1957,70-74,70,413685,22663
1044,1958,70-74,70,433094,23256
1045,1959,70-74,70,452989.5,23978
1046,1960,70-74,70,473055,24609
1047,1961,70-74,70,493596,25230
1048,1962,70-74,70,514613,26421
1049,1963,70-74,70,534751,28829
1050,1964,70-74,70,553732,29214
1051,1965,70-74,70,572339,30910
1052,1966,70-74,70,589472.5,32057
1053,1967,70-74,70,604199.5,33197
1054,1968,70-74,70,616751.5,38217
1055,1969,70-74,70,632214,36799
1056,1970,70-74,70,652714.5,37857
1057,1971,70-74,70,677996.5,38672
1058,1972,70-74,70,707031.5,44895
1059,1973,70-74,70,736464.5,41931
1060,1974,70-74,70,759643.5,44549
1061,1975,70-74,70,776803,37026
1062,1976,70-74,70,789712,35566
1063,1977,70-74,70,792816,35482
1064,1978,70-74,70,791074,34720
1065,1979,70-74,70,795009,34261
1066,1980,70-74,70,807552.5,34576
1067,1981,70-74,70,828608.5,34817
1068,1982,70-74,70,860151,35095
1069,1983,70-74,70,896457,36658
1070,1984,70-74,70,926604,37877
1071,1985,70-74,70,948270.5,38519
1072,1986,70-74,70,962728,38246
1073,1987,70-74,70,969208.5,38131
1074,1988,70-74,70,972800.5,38372
1075,1989,70-74,70,983308.5,37437
1076,1990,70-74,70,1003246.5,38226
1077,1991,70-74,70,1032256.5,37873
1078,1992,70-74,70,1071023.5,39388
1079,1993,70-74,70,1114064,39447
1080,1994,70-74,70,1153064,40914
1081,1995,70-74,70,1185725,40787
1082,1996,70-74,70,1211303.5,41764
1083,1997,70-74,70,1226958,41930
1084,1998,70-74,70,1239142.5,42054
1085,1999,70-74,70,1259121,42332
1086,2000,70-74,70,1289016.5,43169
1087,2001,70-74,70,1329697.5,44114
1088,2002,70-74,70,1384049.5,45572
1089,2003,70-74,70,1443145.5,47108
1090,2004,70-74,70,1489445.5,48332
1091,2005,70-74,70,1516460,49152
1092,2006,70-74,70,1525380.5,49554
1093,2007,70-74,70,1515080.5,49038
1094,2008,70-74,70,1492198.5,48447
1095,2009,70-74,70,1469871,47555
1096,2010,70-74,70,1454741.5,47088
1097,2011,70-74,70,1446257,46238
1098,2012,70-74,70,1446056,46216
1099,2013,70-74,70,1455399.5,46303
1100,2014,70-74,70,1474208,46647
1101,2015,70-74,70,1503081.5,47418
1102,2016,70-74,70,1544246.5,48374
1103,2017,70-74,70,1598835.5,50040
1104,2018,70-74,70,1675450.5,52280
1105,2019,70-74,70,1823502,56136
1106,2020,70-74,70,2029393,56906
1107,2021,70-74,70,2202257,74458
1108,2022,70-74,70,2388720,72244
1109,2023,70-74,70,2600483,78293
1110,1950,75-79,75,160491,15836
1111,1951,75-79,75,170928,16645
1112,1952,75-79,75,180837.5,17424
1113,1953,75-79,75,190408.5,18160
1114,1954,75-79,75,199840,18877
1115,1955,75-79,75,209880.5,18534
1116,1956,75-79,75,220647,19141
1117,1957,75-79,75,231558,19978
1118,1958,75-79,75,242869.5,20594
1119,1959,75-79,75,255011,21351
1120,1960,75-79,75,268051.5,22100
1121,1961,75-79,75,281979.5,22878
1122,1962,75-79,75,296583.5,24124
1123,1963,75-79,75,310989.5,26337
1124,1964,75-79,75,325172.5,27018
1125,1965,75-79,75,339151,28735
1126,1966,75-79,75,352789,30043
1127,1967,75-79,75,366435,31455
1128,1968,75-79,75,378101.5,35872
1129,1969,75-79,75,388326,34994
1130,1970,75-79,75,399214,35916
1131,1971,75-79,75,409654.5,36400
1132,1972,75-79,75,417104,40582
1133,1973,75-79,75,424777.5,37691
1134,1974,75-79,75,436670,39575
1135,1975,75-79,75,454173,34557
1136,1976,75-79,75,479100,34664
1137,1977,75-79,75,509352,36555
1138,1978,75-79,75,540392.5,38163
1139,1979,75-79,75,566060.5,39551
1140,1980,75-79,75,584699,40900
1141,1981,75-79,75,596391,41326
1142,1982,75-79,75,600677,40608
1143,1983,75-79,75,601616,40749
1144,1984,75-79,75,606582.5,40933
1145,1985,75-79,75,618139.5,41277
1146,1986,75-79,75,636588,41328
1147,1987,75-79,75,663001,42577
1148,1988,75-79,75,692532,44569
1149,1989,75-79,75,717629.5,44791
1150,1990,75-79,75,736421.5,46235
1151,1991,75-79,75,749715,45623
1152,1992,75-79,75,756985.5,46313
1153,1993,75-79,75,762722,44996
1154,1994,75-79,75,774274.5,45644
1155,1995,75-79,75,793452,45232
1156,1996,75-79,75,819935.5,46640
1157,1997,75-79,75,853724,48049
1158,1998,75-79,75,890491.5,49751
1159,1999,75-79,75,923538.5,51207
1160,2000,75-79,75,951051.5,52745
1161,2001,75-79,75,972492.5,53649
1162,2002,75-79,75,986148.5,54126
1163,2003,75-79,75,997260.5,54240
1164,2004,75-79,75,1015103,54656
1165,2005,75-79,75,1041283.5,55671
1166,2006,75-79,75,1076201.5,57269
1167,2007,75-79,75,1121956,59219
1168,2008,75-79,75,1170948,61914
1169,2009,75-79,75,1208726,63879
1170,2010,75-79,75,1230198,65332
1171,2011,75-79,75,1237097,65232
1172,2012,75-79,75,1228850,64996
1173,2013,75-79,75,1210789.5,63867
1174,2014,75-79,75,1193581,62675
1175,2015,75-79,75,1182353,61937
1176,2016,75-79,75,1176535.5,61226
1177,2017,75-79,75,1177275,61300
1178,2018,75-79,75,1185636.5,61616
1179,2019,75-79,75,1201834.5,61955
1180,2020,75-79,75,1228823,58277
1181,2021,75-79,75,1262142,72135
1182,2022,75-79,75,1304842.5,65415
1183,2023,75-79,75,1370550.5,67871
1184,1950,80-84,80,52165,7849
1185,1951,80-84,80,58455,8631
1186,1952,80-84,80,66162,9677
1187,1953,80-84,80,74270,10799
1188,1954,80-84,80,81740,11805
1189,1955,80-84,80,88644.5,12249
1190,1956,80-84,80,95437.5,13014
1191,1957,80-84,80,102083,13868
1192,1958,80-84,80,108685.5,14559
1193,1959,80-84,80,115380,15302
1194,1960,80-84,80,122263.5,16017
1195,1961,80-84,80,129378.5,16713
1196,1962,80-84,80,136628,17615
1197,1963,80-84,80,143783.5,19014
1198,1964,80-84,80,151150,19682
1199,1965,80-84,80,158860.5,20926
1200,1966,80-84,80,166670.5,22006
1201,1967,80-84,80,174607.5,23171
1202,1968,80-84,80,181754,25765
1203,1969,80-84,80,188418,25792
1204,1970,80-84,80,195321,26690
1205,1971,80-84,80,202291.5,27400
1206,1972,80-84,80,208573,29989
1207,1973,80-84,80,214747.5,28996
1208,1974,80-84,80,221217.5,30279
1209,1975,80-84,80,229012.5,27987
1210,1976,80-84,80,238660.5,28227
1211,1977,80-84,80,248228,29192
1212,1978,80-84,80,258523,29972
1213,1979,80-84,80,271345,31102
1214,1980,80-84,80,286468.5,32721
1215,1981,80-84,80,304111.5,34322
1216,1982,80-84,80,325161.5,35716
1217,1983,80-84,80,346704.5,38169
1218,1984,80-84,80,364176.5,40146
1219,1985,80-84,80,376894,41472
1220,1986,80-84,80,385575.5,41511
1221,1987,80-84,80,389750.5,41758
1222,1988,80-84,80,391760,42034
1223,1989,80-84,80,397236.5,41207
1224,1990,80-84,80,407567.5,42269
1225,1991,80-84,80,422569,42281
1226,1992,80-84,80,442787.5,44371
1227,1993,80-84,80,465332.5,45000
1228,1994,80-84,80,484812.5,47005
1229,1995,80-84,80,500022.5,47171
1230,1996,80-84,80,511602.5,48405
1231,1997,80-84,80,518812.5,48802
1232,1998,80-84,80,524965,49067
1233,1999,80-84,80,535095,49475
1234,2000,80-84,80,550337,50719
1235,2001,80-84,80,570346,52077
1236,2002,80-84,80,595519,53928
1237,2003,80-84,80,622663,55829
1238,2004,80-84,80,647119.5,57553
1239,2005,80-84,80,667688,59220
1240,2006,80-84,80,683936.5,60599
1241,2007,80-84,80,694727,61205
1242,2008,80-84,80,703773,62044
1243,2009,80-84,80,717598.5,63005
1244,2010,80-84,80,737332.5,64635
1245,2011,80-84,80,763465,66037
1246,2012,80-84,80,797189,68875
1247,2013,80-84,80,832684.5,71720
1248,2014,80-84,80,859825.5,73909
1249,2015,80-84,80,875046,75338
1250,2016,80-84,80,879870,75576
1251,2017,80-84,80,874129.5,75405
1252,2018,80-84,80,861756.5,74280
1253,2019,80-84,80,850325,72780
1254,2020,80-84,80,845999.5,66495
1255,2021,80-84,80,840968,80489
1256,2022,80-84,80,838625.5,70086
1257,2023,80-84,80,847251,70139
1258,1950,85-89,85,21669,4938
1259,1951,85-89,85,20315.5,4599
1260,1952,85-89,85,18936.5,4256
1261,1953,85-89,85,18277,4054
1262,1954,85-89,85,19086,4151
1263,1955,85-89,85,21236,4430
1264,1956,85-89,85,24241,4973
1265,1957,85-89,85,27797,5684
1266,1958,85-89,85,31532.5,6391
1267,1959,85-89,85,35079,7071
1268,1960,85-89,85,38384.5,7676
1269,1961,85-89,85,41631,8233
1270,1962,85-89,85,44880,8848
1271,1963,85-89,85,48027.5,9630
1272,1964,85-89,85,51125,10132
1273,1965,85-89,85,54240.5,10835
1274,1966,85-89,85,57306,11461
1275,1967,85-89,85,60326.5,12105
1276,1968,85-89,85,63074,13216
1277,1969,85-89,85,65792.5,13461
1278,1970,85-89,85,68778,14042
1279,1971,85-89,85,71889,14584
1280,1972,85-89,85,74786,15779
1281,1973,85-89,85,77708.5,15718
1282,1974,85-89,85,80839.5,16488
1283,1975,85-89,85,84437,15987
1284,1976,85-89,85,88876,16455
1285,1977,85-89,85,93707,17260
1286,1978,85-89,85,98758.5,17992
1287,1979,85-89,85,103921.5,18792
1288,1980,85-89,85,109236,19740
1289,1981,85-89,85,114590,20541
1290,1982,85-89,85,120011.5,20987
1291,1983,85-89,85,125966.5,22045
1292,1984,85-89,85,133108.5,23241
1293,1985,85-89,85,141411,24561
1294,1986,85-89,85,151206.5,25585
1295,1987,85-89,85,162728,27373
1296,1988,85-89,85,174227,29340
1297,1989,85-89,85,183965.5,30124
1298,1990,85-89,85,191555.5,31538
1299,1991,85-89,85,197226.5,31567
1300,1992,85-89,85,200776,32274
1301,1993,85-89,85,203794,31644
1302,1994,85-89,85,208991,32387
1303,1995,85-89,85,216960,32572
1304,1996,85-89,85,227526.5,34071
1305,1997,85-89,85,240548.5,35751
1306,1998,85-89,85,254406,37598
1307,1999,85-89,85,266183,39048
1308,2000,85-89,85,275308,40484
1309,2001,85-89,85,282218,41312
1310,2002,85-89,85,287009,41790
1311,2003,85-89,85,291548,42038
1312,2004,85-89,85,298645,42595
1313,2005,85-89,85,308826,43776
1314,2006,85-89,85,321722,45367
1315,2007,85-89,85,337460,47169
1316,2008,85-89,85,353999,49453
1317,2009,85-89,85,368501,51402
1318,2010,85-89,85,380454.5,53181
1319,2011,85-89,85,390053,54014
1320,2012,85-89,85,396685,54993
1321,2013,85-89,85,402484,55601
1322,2014,85-89,85,411516,56500
1323,2015,85-89,85,424294,57962
1324,2016,85-89,85,440827.5,59692
1325,2017,85-89,85,461453.5,62537
1326,2018,85-89,85,482583,65298
1327,2019,85-89,85,498434.5,67150
1328,2020,85-89,85,510331.5,62141
1329,2021,85-89,85,511993,76916
1330,2022,85-89,85,504879.5,67269
1331,2023,85-89,85,499006.5,66060
1332,1950,90-94,90,6350.5,2079
1333,1951,90-94,90,6210.5,2011
1334,1952,90-94,90,6178.5,1978
1335,1953,90-94,90,6131,1948
1336,1954,90-94,90,5914.5,1877
1337,1955,90-94,90,5615.5,1756
1338,1956,90-94,90,5316,1655
1339,1957,90-94,90,5028.5,1561
1340,1958,90-94,90,4963,1519
1341,1959,90-94,90,5335.5,1606
1342,1960,90-94,90,6084,1800
1343,1961,90-94,90,7056,2058
1344,1962,90-94,90,8173.5,2374
1345,1963,90-94,90,9308,2742
1346,1964,90-94,90,10371,3033
1347,1965,90-94,90,11357,3345
1348,1966,90-94,90,12295.5,3626
1349,1967,90-94,90,13215,3908
1350,1968,90-94,90,14052.5,4281
1351,1969,90-94,90,14841.5,4450
1352,1970,90-94,90,15657,4688
1353,1971,90-94,90,16478.5,4913
1354,1972,90-94,90,17230.5,5275
1355,1973,90-94,90,17993,5353
1356,1974,90-94,90,18847.5,5638
1357,1975,90-94,90,19868,5653
1358,1976,90-94,90,21116.5,5919
1359,1977,90-94,90,22472,6276
1360,1978,90-94,90,23910,6628
1361,1979,90-94,90,25420.5,7021
1362,1980,90-94,90,26966.5,7451
1363,1981,90-94,90,28587,7853
1364,1982,90-94,90,30409.5,8156
1365,1983,90-94,90,32372,8687
1366,1984,90-94,90,34327,9206
1367,1985,90-94,90,36420,9569
1368,1986,90-94,90,38711.5,9935
1369,1987,90-94,90,41025,10503
1370,1988,90-94,90,43451,11125
1371,1989,90-94,90,46482.5,11547
1372,1990,90-94,90,50083,12447
1373,1991,90-94,90,54301.5,13087
1374,1992,90-94,90,59205.5,14288
1375,1993,90-94,90,64290,15007
1376,1994,90-94,90,68753.5,16075
1377,1995,90-94,90,72460.5,16519
1378,1996,90-94,90,75520.5,17256
1379,1997,90-94,90,77693.5,17697
1380,1998,90-94,90,79644.5,18034
1381,1999,90-94,90,82452,18469
1382,2000,90-94,90,86257,19284
1383,2001,90-94,90,90947.5,20155
1384,2002,90-94,90,96684,21255
1385,2003,90-94,90,102769,22379
1386,2004,90-94,90,107996,23336
1387,2005,90-94,90,112159.5,24209
1388,2006,90-94,90,115452.5,24888
1389,2007,90-94,90,117957,25270
1390,2008,90-94,90,120436,25778
1391,2009,90-94,90,123964,26442
1392,2010,90-94,90,128741,27424
1393,2011,90-94,90,134731,28345
1394,2012,90-94,90,141910,29814
1395,2013,90-94,90,149281.5,31245
1396,2014,90-94,90,155745.5,32466
1397,2015,90-94,90,161170,33530
1398,2016,90-94,90,165641.5,34260
1399,2017,90-94,90,168825.5,35027
1400,2018,90-94,90,171722.5,35539
1401,2019,90-94,90,176246.5,36192
1402,2020,90-94,90,183875,34992
1403,2021,90-94,90,191692.5,41800
1404,2022,90-94,90,200046.5,40162
1405,2023,90-94,90,210099.5,41955
1406,1950,100+,100,175,104
1407,1951,100+,100,157,93
1408,1952,100+,100,143,85
1409,1953,100+,100,127.5,75
1410,1954,100+,100,107,63
1411,1955,100+,100,88.5,52
1412,1956,100+,100,80,48
1413,1957,100+,100,80.5,48
1414,1958,100+,100,81,47
1415,1959,100+,100,77.5,45
1416,1960,100+,100,74,43
1417,1961,100+,100,74,43
1418,1962,100+,100,78,44
1419,1963,100+,100,80,45
1420,1964,100+,100,76.5,44
1421,1965,100+,100,72.5,42
1422,1966,100+,100,69.5,40
1423,1967,100+,100,67,38
1424,1968,100+,100,67,39
1425,1969,100+,100,73.5,42
1426,1970,100+,100,85.5,49
1427,1971,100+,100,99.5,57
1428,1972,100+,100,114,65
1429,1973,100+,100,126.5,72
1430,1974,100+,100,139,80
1431,1975,100+,100,153,85
1432,1976,100+,100,166.5,93
1433,1977,100+,100,181,101
1434,1978,100+,100,198,110
1435,1979,100+,100,214,119
1436,1980,100+,100,229,128
1437,1981,100+,100,246.5,137
1438,1982,100+,100,265.5,145
1439,1983,100+,100,286.5,157
1440,1984,100+,100,312,170
1441,1985,100+,100,338.5,184
1442,1986,100+,100,368.5,196
1443,1987,100+,100,404,214
1444,1988,100+,100,440.5,233
1445,1989,100+,100,481.5,249
1446,1990,100+,100,528,274
1447,1991,100+,100,582.5,296
1448,1992,100+,100,645.5,328
1449,1993,100+,100,716.5,354
1450,1994,100+,100,796.5,394
1451,1995,100+,100,885.5,428
1452,1996,100+,100,984,476
1453,1997,100+,100,1086,524
1454,1998,100+,100,1199,576
1455,1999,100+,100,1340.5,638
1456,2000,100+,100,1510.5,719
1457,2001,100+,100,1715,810
1458,2002,100+,100,1958,917
1459,2003,100+,100,2213.5,1027
1460,2004,100+,100,2448.5,1129
1461,2005,100+,100,2653.5,1224
1462,2006,100+,100,2831.5,1306
1463,2007,100+,100,2983,1370
1464,2008,100+,100,3133,1440
1465,2009,100+,100,3321,1525
1466,2010,100+,100,3548,1629
1467,2011,100+,100,3813.5,1734
1468,2012,100+,100,4119,1871
1469,2013,100+,100,4423,2003
1470,2014,100+,100,4674.5,2112
1471,2015,100+,100,4879.5,2203
1472,2016,100+,100,5066.5,2277
1473,2017,100+,100,5235.5,2361
1474,2018,100+,100,5414,2437
1475,2019,100+,100,5659.5,2534
1476,2020,100+,100,6021,2597
1477,2021,100+,100,6395,2921
1478,2022,100+,100,6834,2870
1479,2023,100+,100,7360,3084
1480,1950,95-99,95,1188,551
1481,1951,95-99,95,1055,483
1482,1952,95-99,95,1032,465
1483,1953,95-99,95,1007.5,450
1484,1954,95-99,95,957.5,427
1485,1955,95-99,95,922,406
1486,1956,95-99,95,919,402
1487,1957,95-99,95,938,408
1488,1958,95-99,95,946.5,409
1489,1959,95-99,95,918.5,397
1490,1960,95-99,95,874,377
1491,1961,95-99,95,831.5,357
1492,1962,95-99,95,796.5,340
1493,1963,95-99,95,800.5,343
1494,1964,95-99,95,880.5,372
1495,1965,95-99,95,1023,431
1496,1966,95-99,95,1195.5,502
1497,1967,95-99,95,1381,582
1498,1968,95-99,95,1557,672
1499,1969,95-99,95,1715.5,733
1500,1970,95-99,95,1862.5,795
1501,1971,95-99,95,2006,855
1502,1972,95-99,95,2139,929
1503,1973,95-99,95,2269.5,968
1504,1974,95-99,95,2405,1031
1505,1975,95-99,95,2556,1059
1506,1976,95-99,95,2734.5,1122
1507,1977,95-99,95,2923,1197
1508,1978,95-99,95,3124,1275
1509,1979,95-99,95,3343.5,1363
1510,1980,95-99,95,3578,1460
1511,1981,95-99,95,3829,1556
1512,1982,95-99,95,4115,1634
1513,1983,95-99,95,4431.5,1760
1514,1984,95-99,95,4758.5,1889
1515,1985,95-99,95,5097.5,2021
1516,1986,95-99,95,5485,2123
1517,1987,95-99,95,5931,2292
1518,1988,95-99,95,6401,2472
1519,1989,95-99,95,6913.5,2600
1520,1990,95-99,95,7475,2818
1521,1991,95-99,95,8076.5,2969
1522,1992,95-99,95,8699,3205
1523,1993,95-99,95,9413,3361
1524,1994,95-99,95,10311,3674
1525,1995,95-99,95,11383,3947
1526,1996,95-99,95,12634.5,4375
1527,1997,95-99,95,14036.5,4840
1528,1998,95-99,95,15443.5,5299
1529,1999,95-99,95,16777.5,5458
1530,2000,95-99,95,17990,5871
1531,2001,95-99,95,18970,6162
1532,2002,95-99,95,19721.5,6372
1533,2003,95-99,95,20426,6539
1534,2004,95-99,95,21388.5,6773
1535,2005,95-99,95,22651,7137
1536,2006,95-99,95,24160,7574
1537,2007,95-99,95,25939,8067
1538,2008,95-99,95,27762,8629
1539,2009,95-99,95,29256.5,9096
1540,2010,95-99,95,30405.5,9480
1541,2011,95-99,95,31355,9694
1542,2012,95-99,95,32129.5,9942
1543,2013,95-99,95,32935.5,10155
1544,2014,95-99,95,34113.5,10454
1545,2015,95-99,95,35702,10881
1546,2016,95-99,95,37652,11374
1547,2017,95-99,95,39905,12067
1548,2018,95-99,95,42154,12713
1549,2019,95-99,95,44108,13239
1550,2020,95-99,95,46106.5,13151
1551,2021,95-99,95,47499.5,14848
1552,2022,95-99,95,48244,14326
1553,2023,95-99,95,49370.5,14598
